Company,YahooTicker,myWeights
3i Group,III.L,8
Microsoft Corp,MSFT,5
Estee Lauder,EL,5
Nestle,NESN.SW,5
MercadoLibre,MELI,4
Deere,DE,4
Moderna,MRNA,4
Costco,COST,3
HubSpot,HUBS,3
ASML,ASML,3
Apple,AAPL,3
NVIDIA,NVDA,3
Amazon,AMZN,3
Johnson,JNJ,3
JPMorgan,JPM,3
Linde,LIN,3
Novo Nordisk,NVO,3
Rio Tinto,RIO,3
Salesforce,CRM,3
LVMH,MC.PA,3
Visa,V,2
Tesla,TSLA,2
Abbvie,ABBV,2
Albemarle,ALB,2
BHP,BHP,2,,
Cloudflare,NET,2,,
CrowdStrike,CRWD,2,,
Enphase Energy,ENPH,2,,
ServiceNow,NOW,2,,
Thermo Fisher,TMO,2,,
Shopify,SHOP,1,,
NIO,NIO,1,,
Alibaba,BABA,1,,
Corteva,CTVA,1,,
Nutrien,NTR.TO,1,,
Archer-Daniels-Midland,ADM,1,,
Samsung Electronics,SMSN.IL,0,,
HarbourVest,HVPE.L,0,,
VINCI,DG.PA,0,,
Palo Alto,PANW,0,,
Fidelity Asian,FAS.L,0,,
,,,,
,,,,
