Date,Name,Close,High,Low,Open,Volume
12/31/1968,Scottish Mortgage Ord,0.04852,,,,
01/01/1969,Scottish Mortgage Ord,0.04852,,,,
01/02/1969,Scottish Mortgage Ord,0.04852,,,,
01/03/1969,Scottish Mortgage Ord,0.04852,,,,
01/04/1969,Scottish Mortgage Ord,0.04852,,,,
01/05/1969,Scottish Mortgage Ord,0.04852,,,,
01/06/1969,Scottish Mortgage Ord,0.04852,,,,
01/07/1969,Scottish Mortgage Ord,0.04852,,,,
01/08/1969,Scottish Mortgage Ord,0.04852,,,,
01/09/1969,Scottish Mortgage Ord,0.04852,,,,
01/10/1969,Scottish Mortgage Ord,0.04852,,,,
01/11/1969,Scottish Mortgage Ord,0.04852,,,,
01/12/1969,Scottish Mortgage Ord,0.04852,,,,
01/13/1969,Scottish Mortgage Ord,0.04852,,,,
01/14/1969,Scottish Mortgage Ord,0.04852,,,,
01/15/1969,Scottish Mortgage Ord,0.04852,,,,
01/16/1969,Scottish Mortgage Ord,0.04852,,,,
01/17/1969,Scottish Mortgage Ord,0.04852,,,,
01/18/1969,Scottish Mortgage Ord,0.04852,,,,
01/19/1969,Scottish Mortgage Ord,0.04852,,,,
01/20/1969,Scottish Mortgage Ord,0.04852,,,,
01/21/1969,Scottish Mortgage Ord,0.04852,,,,
01/22/1969,Scottish Mortgage Ord,0.04852,,,,
01/23/1969,Scottish Mortgage Ord,0.04852,,,,
01/24/1969,Scottish Mortgage Ord,0.04852,,,,
01/25/1969,Scottish Mortgage Ord,0.04852,,,,
01/26/1969,Scottish Mortgage Ord,0.04852,,,,
01/27/1969,Scottish Mortgage Ord,0.04852,,,,
01/28/1969,Scottish Mortgage Ord,0.04852,,,,
01/29/1969,Scottish Mortgage Ord,0.04852,,,,
01/30/1969,Scottish Mortgage Ord,0.04852,,,,
01/31/1969,Scottish Mortgage Ord,0.04852,,,,
02/01/1969,Scottish Mortgage Ord,0.04852,,,,
02/02/1969,Scottish Mortgage Ord,0.04852,,,,
02/03/1969,Scottish Mortgage Ord,0.04852,,,,
02/04/1969,Scottish Mortgage Ord,0.04852,,,,
02/05/1969,Scottish Mortgage Ord,0.04852,,,,
02/06/1969,Scottish Mortgage Ord,0.04852,,,,
02/07/1969,Scottish Mortgage Ord,0.04852,,,,
02/08/1969,Scottish Mortgage Ord,0.04852,,,,
02/09/1969,Scottish Mortgage Ord,0.04852,,,,
02/10/1969,Scottish Mortgage Ord,0.04852,,,,
02/11/1969,Scottish Mortgage Ord,0.04852,,,,
02/12/1969,Scottish Mortgage Ord,0.04852,,,,
02/13/1969,Scottish Mortgage Ord,0.04852,,,,
02/14/1969,Scottish Mortgage Ord,0.04852,,,,
02/15/1969,Scottish Mortgage Ord,0.04852,,,,
02/16/1969,Scottish Mortgage Ord,0.04852,,,,
02/17/1969,Scottish Mortgage Ord,0.04852,,,,
02/18/1969,Scottish Mortgage Ord,0.04852,,,,
02/19/1969,Scottish Mortgage Ord,0.04852,,,,
02/20/1969,Scottish Mortgage Ord,0.04852,,,,
02/21/1969,Scottish Mortgage Ord,0.04852,,,,
02/22/1969,Scottish Mortgage Ord,0.04852,,,,
02/23/1969,Scottish Mortgage Ord,0.04852,,,,
02/24/1969,Scottish Mortgage Ord,0.04852,,,,
02/25/1969,Scottish Mortgage Ord,0.04852,,,,
02/26/1969,Scottish Mortgage Ord,0.04852,,,,
02/27/1969,Scottish Mortgage Ord,0.04852,,,,
02/28/1969,Scottish Mortgage Ord,0.04852,,,,
03/01/1969,Scottish Mortgage Ord,0.04852,,,,
03/02/1969,Scottish Mortgage Ord,0.04852,,,,
03/03/1969,Scottish Mortgage Ord,0.04852,,,,
03/04/1969,Scottish Mortgage Ord,0.04852,,,,
03/05/1969,Scottish Mortgage Ord,0.04852,,,,
03/06/1969,Scottish Mortgage Ord,0.04852,,,,
03/07/1969,Scottish Mortgage Ord,0.04852,,,,
03/08/1969,Scottish Mortgage Ord,0.04852,,,,
03/09/1969,Scottish Mortgage Ord,0.04852,,,,
03/10/1969,Scottish Mortgage Ord,0.04852,,,,
03/11/1969,Scottish Mortgage Ord,0.04852,,,,
03/12/1969,Scottish Mortgage Ord,0.04852,,,,
03/13/1969,Scottish Mortgage Ord,0.04852,,,,
03/14/1969,Scottish Mortgage Ord,0.04852,,,,
03/15/1969,Scottish Mortgage Ord,0.04852,,,,
03/16/1969,Scottish Mortgage Ord,0.04852,,,,
03/17/1969,Scottish Mortgage Ord,0.04852,,,,
03/18/1969,Scottish Mortgage Ord,0.04852,,,,
03/19/1969,Scottish Mortgage Ord,0.04852,,,,
03/20/1969,Scottish Mortgage Ord,0.04852,,,,
03/21/1969,Scottish Mortgage Ord,0.04852,,,,
03/22/1969,Scottish Mortgage Ord,0.04852,,,,
03/23/1969,Scottish Mortgage Ord,0.04852,,,,
03/24/1969,Scottish Mortgage Ord,0.04852,,,,
03/25/1969,Scottish Mortgage Ord,0.04852,,,,
03/26/1969,Scottish Mortgage Ord,0.04852,,,,
03/27/1969,Scottish Mortgage Ord,0.04852,,,,
03/28/1969,Scottish Mortgage Ord,0.04852,,,,
03/29/1969,Scottish Mortgage Ord,0.04852,,,,
03/30/1969,Scottish Mortgage Ord,0.04852,,,,
