date,9984.T,AAPL,ABBV,ALB,AMAT,AMZN,ASML,AZN.L,BHP,CNR.TO,COST,CRM,CRWD,DE,DG.PA,ECL,EL,FAS.L,GOOGL,HON,HUBS,HVPE.L,III.L,JNJ,JPM,LIN,LRCX,MC.PA,MELI,MRNA,MSFT,NESN.SW,NIO,NKE,NOW,NVDA,NVO,ODFL,PANW,PG,RIO,SHW,SMSN.IL,SMT.L,TM,TMO,TSLA,V,WM,XOM
2005-01-03,3.8307109003484485,0.5043468505049575,,7.664870031047591,6.53981023447018,1.1687389783555635,5.795016049548463,892.400390625,5.859910991272813,,17.564856167442308,2.1789158660669328,,13.245774432570146,8.921688298876237,14.644488653593568,9.663683206292012,55.434757232666016,2.663434788010454,11.631004779657866,,,336.6658020019531,19.573058289418878,12.370210460794318,16.061898650473474,12.716058780434604,27.582100053531374,,,9.856396207443348,8.01004961043667,,4.76764966825926,,0.9465896313376314,1.982547755113026,3.5643125138283986,,17.276449114466125,5.214714949566833,5.941433246427618,,51.91124725341797,32.99946341901542,14.870276023442324,,,9.225373464558773,14.2460329903734
2005-01-04,3.8293557700227563,0.5152134100631167,,7.4347010907280175,6.486994051098016,1.1186063480227593,5.665984440846439,902.3211669921875,5.69644986678148,5.744010552561175,17.442010246234812,2.1713810582561024,,13.074101951359086,8.984111428208905,14.619623357931983,9.57435197143727,55.851566314697266,2.5840850021432553,11.55091875179699,,,352.3066101074219,19.728600151474005,12.379356372815916,16.008512011248087,12.395301964193935,27.354857047153892,,,10.003676918491935,7.963158681125976,,4.7522884858934695,,0.9120973580272963,1.9384834790238503,3.5785258289632296,,17.250863646751533,5.055210673480866,5.936937980907339,102.48800159941968,52.343502044677734,32.830634987710376,14.848798577736689,,,9.224090708208374,14.307262113379437
2005-01-05,3.79455672032982,0.519196970010215,,7.2480743441522595,6.370426822232713,1.1076568556547306,5.578352006177727,903.738525390625,5.708242093432314,5.637618231429103,17.49094656770113,2.3799905657389138,,12.93423563865781,8.938192655399392,14.463672878851304,9.382615809158592,55.851566314697266,2.568317687646296,11.505890786257337,,,348.1495056152344,19.695955299229258,12.392525703177105,15.667594350039664,11.962074548618151,26.91052445184975,,,9.971158928985657,7.900381242159998,,4.690633685572301,,0.919685557506854,1.9176189599185525,3.368506145262205,,17.413552497502817,5.044643679617248,5.8465611827510955,100.3504454340661,51.9505500793457,32.715317536351655,14.793204626037637,,,9.138971369654037,14.218013369186307
2005-01-06,3.79316882148405,0.5220976441660655,,7.424001382365375,6.353697875026166,1.0937977471128988,5.515430494687963,915.5491333007812,5.798799641830148,5.601328471694846,17.82814263393332,2.3607911373608066,,13.177054386484837,9.039400416268444,14.576172810918653,9.55251371645056,56.26835250854492,2.514518806934824,11.484291062874437,,,344.7720642089844,19.847495876250346,12.523278912225834,15.898605532574367,11.9313480254124,26.93924901903735,,,10.00788011792034,7.929940424727287,,4.707318500222506,,0.9151435395224042,1.9765760219958726,3.4011278093987505,,17.583067548813982,5.071625648341114,5.878774052824018,99.87148296485609,52.14703369140625,33.057828676267626,14.874500472805805,,,9.135352438054817,14.46823650264101
2005-01-07,3.773089786971864,0.5616680702836241,,7.47127460735886,6.391129820341276,1.1307691523640009,5.48200240292428,915.5491333007812,5.809840267965554,5.4605231725746,17.72463201240449,2.3446359111045423,,13.03066646111429,9.024499696160685,14.530493822598954,9.663181364723389,56.059959411621094,2.5923796977105966,11.47259303050032,,,345.551513671875,19.829779188331422,12.45748824338081,15.939041658756722,12.001746006062096,26.956276752861225,,,10.005662543302963,7.8972548205645365,,4.692568134879733,,0.9001154320995519,1.9912024431853654,3.345717354438976,,17.816688219937646,5.087532441388905,5.855350583594627,100.99244798866575,51.871952056884766,32.78644883211,14.696530539180024,,,9.11620954620915,14.412894759306235
2005-01-10,3.7877938258241395,0.5576415017644055,,7.393711145606008,6.379887047561462,1.1145966764646853,5.5590495329215965,912.7144775390625,5.797494010675352,5.531358105119749,17.705060502976245,2.2616934736050527,,12.932683293658556,8.960870688265288,14.61583925491023,9.681572696301227,56.47676467895508,2.6007509838243776,11.401460810889773,,,347.88983154296875,19.925137379737155,12.378147285305259,15.835735753283014,12.026171633847115,26.807894627664897,,,10.024329233747526,7.898420868838799,,4.724929563509706,,0.8994572769976906,1.9780286420556024,3.4834966477565756,,17.903114956925133,5.098644621548358,5.895215907849509,99.96914564157544,52.14703369140625,32.90225777850042,14.693210913146537,,,9.063550608840574,14.424578206733957
2005-01-11,3.8814133986402894,0.5215906564915761,,7.311486472037316,6.36625414361696,1.1082694534642283,5.4083742134671144,913.1868896484375,5.862878681012613,5.459911887894342,17.592443420936657,2.1851326081166826,,12.74981205830847,8.94882074563029,14.482520296338375,9.674999049741933,56.47676467895508,2.578159852380344,11.35778190286021,,,348.1495056152344,19.8377729580604,12.247427021608202,15.780736660359745,11.862249321445939,26.461355914798528,,,9.989138185417653,7.923627714273299,,4.698288082329724,,0.8709713261928499,1.9470447037564922,3.4967654103779093,,17.867941224492075,5.150779716092714,5.857134109238875,100.83942910399008,51.871952056884766,33.2261665599649,14.654570119431733,,,9.1028933089585,14.374096326787752
2005-01-12,3.846907964940905,0.5254742621581605,,7.2565349381944895,6.47430635606907,1.118623592641811,5.6669072857131235,908.9351806640625,5.923036246257127,5.435072653726379,17.557312865519382,1.9965977067905705,,12.805330280378039,9.09159031368794,14.351369841982704,9.666402635128485,56.26835250854492,2.5859980647494947,11.61030659918909,,,345.03179931640625,19.84861919996237,12.19786514644356,15.760582262364208,12.293291268189314,26.08721686114507,,,9.94371077947898,8.110914870241317,,4.691490086774807,,0.8581129233234381,1.9605723131060544,3.432592168244099,,17.81970292322193,5.199846486351389,5.905077141743323,100.19345317376606,51.754058837890625,33.127697593496386,14.585934258353737,,,9.201932425874402,14.49402581094808
2005-01-13,3.8426253713349983,0.5632051643208853,,7.200161480090513,6.397491354826198,1.1323719099425282,5.617822382674226,907.0454711914062,5.908276139827309,5.459134437187712,17.72591238944587,2.0268392838979064,,12.972563151041873,9.240243256712938,14.245453159841524,9.712003807583924,56.26835250854492,2.5986805910500865,11.536779530560645,,,341.65423583984375,19.52571015908134,12.189823268659966,15.597876549484807,12.208481950892434,26.375159390145594,,,9.804692872536249,8.134665792488894,,4.685363331788034,,0.8714848531611724,1.9623595486035743,3.499467743116103,,17.60105202884714,5.172299066451148,5.879649294142513,103.10848033482402,52.10774612426758,32.93327278886193,14.48873292948523,,,9.290554460396342,14.557316084285256
2005-01-14,3.8743325704430607,0.5695862376882098,,6.987964694124894,6.5439577926269905,1.1907992433690597,5.79539228020785,894.2901611328125,6.052600915670777,5.55972137638906,18.022499331810913,2.004712565255977,,13.098410837956912,9.239273181385729,14.50576376020239,9.843774140999432,56.89356231689453,2.6752241603918923,11.855981130365635,,,342.1739501953125,19.865723881708927,12.270679735344864,15.688431808324241,12.672471616461886,26.441640194478467,,,9.802987139797647,8.131395825431387,,4.761232108814959,,0.8791983591799621,1.974427954303896,3.533370134184605,,17.81061207904884,5.326429966072436,6.001513414827973,110.3134772305248,52.18632507324219,33.64923214654199,14.91629403786698,,,9.316833534437961,14.78895000696548
2005-01-17,4.025864531720146,,,,,,,896.1798706054688,,5.6181377448726115,,,,,9.289150907062561,,,58.97758102416992,,,,,344.7720642089844,,,,,26.824277899720883,,,,8.158922343523605,,,,,,,,,,,114.98935516553387,52.42210388183594,,,,,,
2005-01-18,3.941899925221061,0.5754788424393523,,7.089416571729776,6.569541114940291,1.1962597115048796,5.723905843674561,889.0933837890625,6.061010102069926,5.498636479707893,18.41905308696893,2.0192584283134085,,13.114354259498972,9.314791723967536,14.800422684818885,10.049092166185483,58.97758102416992,2.7384648239387985,12.074091528012529,,,343.99261474609375,20.04834759908459,12.510871812070189,15.831896479198218,12.736047124098377,26.404941806371408,,,9.916667471713584,8.061260407071735,,4.766413792366607,,0.8965865520228675,1.9217342130886041,3.547183693174377,,17.915438596917742,5.392090199717106,6.07315349374261,112.80225921542537,52.264930725097656,33.45748338239215,15.04118694667286,,,9.32771041649886,14.971776249333118
2005-01-19,3.862080559159797,0.5668945985452434,,6.98884366301186,6.337032359946526,1.1748309530543843,5.550637750282602,891.4556274414062,6.013601490833397,5.464802974112844,18.053060125170212,2.0030386810913434,,12.950156645953639,9.301344467530111,14.761848259773654,9.98022200276546,60.01958465576172,2.639060056737764,11.864046770074426,,,345.551513671875,19.90038452792028,12.278344207444878,15.54823267465933,12.204517701289047,26.45915735769046,,,9.748801556029004,8.023313979595857,,4.739024317668271,,0.8725114944531804,1.9165938430293428,3.512181899821139,,18.143569366449967,5.3975305316086235,5.952518457486724,111.37973847717666,52.50070571899414,32.859238339196715,14.61285463412247,,,9.175326929016117,14.78067291780734
